,Class1,Class2,Class3,Class4,Class5,Class6,Class7,Class8,Class9,Class10,Class11,Class12,Class13,Class14,Class15,Class16,Class17,Class18
Class1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Class2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Class3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Class4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Class5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Class6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Class7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Class8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Class9,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Class10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Class11,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Class12,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Class13,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Class14,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Class15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Class16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Class17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Class18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
