Class,Precision,Recall,F1-Score
1,100.00%,100.00%,100.00%
2,100.00%,66.67%,80.00%
3,66.67%,100.00%,80.00%
4,0.00%,0.00%,0.00%
5,100.00%,100.00%,100.00%
6,100.00%,100.00%,100.00%
7,100.00%,100.00%,100.00%
8,25.00%,50.00%,33.33%
9,100.00%,100.00%,100.00%
10,100.00%,100.00%,100.00%
11,100.00%,100.00%,100.00%
12,66.67%,100.00%,80.00%
13,66.67%,100.00%,80.00%
14,100.00%,100.00%,100.00%
15,100.00%,66.67%,80.00%
16,100.00%,100.00%,100.00%
17,100.00%,100.00%,100.00%
18,100.00%,66.67%,80.00%
Global,,Accuracy,83.72%
